"","x"
"1","HSPA5"
"2","HSPA8"
"3","HSPA1A"
"4","HSPA1B"
"5","HSP90AA1"
"6","HSP90AB1"
"7","HSP90B1"
"8","HSPH1"
"9","HSPB1"
"10","HSF1"
"11","VCP"
"12","TCP1"
"13","UFD1"
"14","VCPIP1"
"15","UBXN2B"
"16","UBXN2A"
"17","UBXN11"
"18","ASPSCR1"
"19","SPRTN"
"20","DERL1"
"21","DERL2"
"22","AMFR"
"23","ANKZF1"
"24","SELENOS"
"25","SVIP"
"26","ZFAND2B"
"27","UBXN6"
"28","SYVN1"
"29","ATXN3"
"30","UBE4B"
"31","NUB1"
"32","UBE4A"
"33","NPLOC4"
"34","FAF1"
"35","YOD1"
"36","CCT2"
"37","CCT3"
"38","CCT4"
"39","CCT5"
"40","CCT6A"
"41","CCT7"
"42","CCT8"
"43","CCT6B"
"44","NGLY1"
"45","UBXN1"
"46","UBXN4"
"47","NSFL1C"
"48","AIP"
"49","STUB1"
"50","PPID"
"51","FKBP6"
"52","FKBP8"
"53","FKBP5"
"54","FKBP4"
"55","FKBPL"
"56","STIP1"
"57","PPP5C"
"58","RPAP3"
"59","TTC1"
"60","TTC4"
"61","UNC45A"
"62","UNC45B"
"63","AARSD1"
"64","PTGES3L"
"65","CACYBP"
"66","CHORDC1"
"67","ITGB1BP2"
"68","LRRC6"
"69","PTGES3"
"70","HACD3"
"71","NUDC"
"72","NUDCD1"
"73","NUDCD2"
"74","NUDCD3"
"75","SUGT1"
"76","USP19"
"77","AHSA1"
"78","AHSA2P"
"79","CDC37"
"80","CDC37L1"
"81","HSPA6"
"82","BAG1"
"83","BAG2"
"84","BAG3"
"85","BAG4"
"86","BAG5"
"87","DNAJA4"
"88","DNAJC7"
"89","SGTA"
"90","HSF2"
"91","HSF4"
"92","HSF5"
"93","HSFX1"
"94","HSFY1"
"95","PFDN2"
"96","PFDN5"
"97","PSMC1"
"98","ADRM1"
"99","PSMD2"
"100","PSMD4"
"101","MLF1"
"102","MLF2"
"103","IRS4"
"104","CBL"
"105","MCMBP"
"106","DCP1A"
"107","DCP1B"
"108","PHGDH"
"109","HSPA12B"
"110","HSPA12A"
"111","HYOU1"
"112","HSPA4"
"113","HSPA4L"
"114","HSPA7"
"115","HSPA9"
"116","HSPA14"
"117","HSPA2"
"118","HSPA13"
"119","HSPA1L"
"120","SIL1"
"121","HSPBP1"
"122","BAG6"
"123","GRPEL1"
"124","GRPEL2"
"125","HSP90AA2P"
"126","TRAP1"
"127","PPIL3"
"128","PPIL1"
"129","NKTR"
"130","PPIG"
"131","PPIL6"
"132","PPIB"
"133","PPIC"
"134","PPIL4"
"135","PPIL2"
"136","PPIH"
"137","PPIAL4A"
"138","PPIAL4G"
"139","PPIE"
"140","CWC27"
"141","PPIF"
"142","PPWD1"
"143","PPIA"
"144","FKBP9P1"
"145","FKBP1C"
"146","FKBP7"
"147","FKBP14"
"148","FKBP10"
"149","FKBP11"
"150","FKBP2"
"151","FKBP1A"
"152","FKBP1B"
"153","FKBP3"
"154","FKBP15"
"155","FKBP9"
"156","AIPL1"
"157","DNAJC1"
"158","SEC63"
"159","DNAJB11"
"160","DNAJB9"
"161","DNAJC10"
"162","DNAJC3"
"163","DNAJC25"
"164","PSMA1"
"165","PSMA2"
"166","PSMA3"
"167","PSMA4"
"168","PSMA5"
"169","PSMA6"
"170","PSMA7"
"171","PSMA8"
"172","PSMB1"
"173","PSMB2"
"174","PSMB3"
"175","PSMB4"
"176","PSMB5"
"177","PSMB6"
"178","PSMB7"
"179","PSMB8"
"180","PSMB9"
"181","PSMB10"
"182","PSMC2"
"183","PSMC3"
"184","PSMC4"
"185","PSMC5"
"186","PSMC6"
"187","PSMD1"
"188","PSMD3"
"189","PSMD5"
