"Gene","median_OS_high_exp","median_OS_low_exp","median_OS_diff","OS_pval","median_PFS_high_exp","median_PFS_low_exp","median_PFS_diff","PFS_pval"
"FKBP4",1704,NA,NA,0.00044148604222585,722,1293,-571,0.00056139705505587
"CDC27",1777,NA,NA,2.98411232887101e-05,628,1065,-437,0.00120676139454499
"RPAP3",2207,NA,NA,0.00202032898232894,717,1069,-352,0.0151704193237761
"DNAJC11",1789,NA,NA,0.00014828602048485,638,1094,-456,3.1192440801415e-05
"PSMB1",1789,NA,NA,0.00341300476732577,798,1083,-285,0.0511813357599533
"UBE3C",2207,NA,NA,0.0188119213009127,791,1176,-385,0.0274300940453489
"TTC19",2207,1944,263,0.00649490256220649,668,1176,-508,0.00390580627720003
"PSMC4",1670,NA,NA,0.000128701155746119,798,1176,-378,0.00159950361541007
"NUDCD3",1944,NA,NA,0.0666049066080561,917,1069,-152,0.0747966003417484
"ERP44",1704,NA,NA,0.00229413244102185,791,1031,-240,0.0107184285332201
"TOMM34",1704,NA,NA,0.000179473377316795,625,908,-283,0.00267860312206729
"SEC63",1789,2207,-418,0.0290143802198558,798,1069,-271,0.424615903947689
"PSMA4",2207,NA,NA,0.0041343407877922,717,994,-277,0.00353512130804205
"HSPA5",NA,NA,NA,0.00187317776770416,970,1077,-107,0.479891477962685
"TTC17",2207,NA,NA,0.86576266452538,964,1069,-105,0.302919899457077
"DNAJC25",1670,NA,NA,0.00155126093725847,791,1031,-240,0.0793187889471405
"PDIA5",NA,NA,NA,0.0525449748840016,900,959,-59,0.328549358186419
"TTC7A",2207,NA,NA,0.0248856619003548,900,1215,-315,0.105357485450085
"PSME4",NA,NA,NA,0.00208623211860654,689,1270,-581,0.0015548128467593
"ERLEC1",NA,NA,NA,0.420007218402836,970,789,181,0.411443939955052
"DNAJA2",1777,NA,NA,3.1375463774764e-05,700,1215,-515,0.00018378722751647
"UFD1",2207,NA,NA,0.00441405841493616,700,883,-183,0.0987189021312752
"DERL2",NA,NA,NA,0.00897365198829828,1066,1232,-166,0.226525331739376
"BCS1L",NA,NA,NA,0.0570421934710653,774,1176,-402,0.0124518680364223
"XAB2",1777,NA,NA,0.000893100679197968,801,1176,-375,0.012786064469542
"DNAJC10",NA,NA,NA,0.412544877634116,964,901,63,0.302151044665825
"HSP90AA1",1777,NA,NA,4.45612899788082e-07,572,1429,-857,1.66417834220297e-05
"PLOD1",1789,NA,NA,0.00353173681290182,833,1176,-343,0.0854867323260353
"PPIE",1666,NA,NA,0.00296702809185618,798,1266,-468,0.000362108364884191
"DNAJA1",1789,NA,NA,0.000190351751659172,717,1065,-348,0.05249938768528
"PSMC5",1789,1777,12,0.00714205149478015,654,946,-292,0.00144542786546044
"EDEM2",NA,NA,NA,0.00235881805383678,832,1236,-404,0.0142201960314975
"FKBP1A",2207,NA,NA,0.000131228946396158,722,1240,-518,0.00104178003593428
"NSFL1C",1789,NA,NA,0.000133755526597752,652,1240,-588,0.000505879107146693
"ANAPC5",1789,NA,NA,0.00706209559918165,719,994,-275,0.00601654011846828
"ERP29",2207,NA,NA,0.764188853084704,851,1057,-206,0.125854506167782
"MLF2",1777,NA,NA,0.00478702864855798,833,1069,-236,0.117376745491202
"NUDC",1704,NA,NA,5.43469956090046e-06,638,1518,-880,1.19477994348064e-06
"DNAJB11",NA,NA,NA,0.00100282916131624,791,1082,-291,0.0409115389182506
"PSME1",1789,NA,NA,0.00308465065266016,776,1052,-276,0.00181236736788928
"HSP90AB1",2207,NA,NA,0.00018492881575312,652,1518,-866,1.29611351521565e-05
"PSMD8",1670,NA,NA,0.000108487037902536,776,1069,-293,0.00867324145515502
"CABIN1",1666,NA,NA,0.0265350765662271,613,1066,-453,0.00126915261449054
"PPIL2",NA,NA,NA,0.296015708598396,834,1176,-342,0.0412298411493555
"ST13",NA,NA,NA,0.339017074640285,798,1052,-254,0.0322701263028165
"ZC3H7B",1944,NA,NA,0.0265575189269389,725,959,-234,0.0236278384396253
